model,designer,builder,rig_type,loa,lwl,beam,draft,displacement,displacement,notes,i,mizzen_i,j,mizzen_j,p,mizzen_p,e,mizzen_e,mast_height,mizzen_mast_height,bury,bury_mizzen,mh_frac,DK_or_KL,DK_or_KL_mizzen,No_of_spreaders,no_of_spreaders_mizzen,spreader_angle,spreader_angle_mizzen,mast_section,mast_section_mizzen,boom_section,boom_section_mizzen,spin_pole_diameter,telescopic_pole_diameter,rodkicker,headsail furler,JOCKEY_P,forestay_wire_size,mizzen_forestay_wire_size,mizzen_backstay_wire_size,capshrouds_wire_size,backstay_wire_size,mizzen_capshrouds_wire_size,intermediate_shrouds_wire_size,mizzen_intermediate_wire_size,forward_lower_shrouds_wire_size,mizzen_forward_lower_shrouds_wire_size,aft_lower_shrouds_wire_size,mizzen_forward_lower_shrouds_wire_size,inner_forestay_wire_size,runner_wire_size,mizzen_runner_wire_size,baby_stay_wire_size,triatic_stay_wire_size,jumper_wire_size,mizzen_jumper_wire_size,boom_above_deck,yacht_class
CALIBER 47 CT FURL,,,SL,14300,,4013,1575,15000,6000,"CS FLX: C-10, WIRE DIAM 10MM",,,,,14520,,5486,,,,2430,,MH,KL,,2,,0¡,,R290,,200,,,,,D-12,,12,,,12,12,,10,,12,,12,,10,8,,,,,,1780,
CALLISTO 385 FURL,,,SL,12060,,3870,1850,15000,5000,"CS FLX: C-10, WIRE DIAM 10MM",,,5200,,13700,,4800,,,,,,MH,DK,,2,,0¡,,R260,,200,,99,,,D-12,,12,,,10,12,,8,,10,,10,,10,8,,,,,,1450,
CALLISTO 435 FURL,,,SL,13411,,4000,1981,18000,7000,"CS FLX: 310S, WIRE DIAM 10MM",,,6000,,15690,,6000,,,,,,MH,DK,,2,,0¡,,R290,,250,,111,,,D-12,,12,,,12,12,,10,,12,,12,,10,8,,,,,,1600,
CAM 88,,,SL,13000,,3880,2000,11500,4600,"LOWER INTERMEDIATE WIRE DIAM 8MM, CS FLX: 308S, WIRE DIAM 8MM",,,5250,,14650,,5000,,,,2200,,MH,KL,,3,,0¡,,E224,,171,,99,,,310S,,10,,,10,10,,8,,10,,10,,8,7,,,,,,1250,
CAMBRIA 44 FURL,,,SL,13970,,4190,2080,10890,6800,"CS FLX: 310S, WIRE DIAM 10MM",,,5820,,15835,,4775,,,,2330,,MH,KL,,2,,0¡,,R290,,200,,111,,,412S,,12,,,12,12,,10,,12,,12,,10,8,,,,,,1250,
CAMPER NICH 40 MAIN,,,KT,12200,,3500,1752,9888,4898,"CS FLX: 208S, WIRE DIAM 8MM",,,4343,,13260,,4877,,,,2285,,MH,KL,,1,,10¡,,E237,,171,,96,,,310S,,10,,,10,10,,,,10,,10,,8,7,,,,,,1260,
CAPE DORY 36,,,SL,10970,,3250,1525,7300,2745,"RUNNER IS AFT INTERMEDIATE, CS FLX: 207S, WIRE DIAM 7MM",,,4725,,11425,,4880,,,,2110,,MH,KL,,2,,1¡,,E177,,171,,84,,,208S,,8,,,7,8,,6,,7,,7,,7,8,,,,,,1015,
CAPE FEAR 38 3SPR,,,SL,11500,,3350,1830,4730,2270,"LOWER INTERMEDIATE WIRE DIAM 5MM, FITTING FOR 7MM RUNNER",,,4190,,14175,,5180,,,,1980,,FR,KL,,3,,21¡,,E177,,171,,84,,,208S,,8,,,7,6,,5,,,,10,,,,,,,,,1495,
CAPE FEAR 38 2SPR,,,SL,11500,,3350,1830,4730,2270,FITTING FOR 6MM RUNNER,,,4190,,14175,,5180,,,,1980,,FR,KL,,2,,21¡,,E189,,171,,84,,,207S,,6,,,7,7,,5,,,,10,,,,,,,,,1495,
CAPRICORUNS FURL,,,SL,8500,,2600,700,3200,1300,EMERGENCY IF STAY WIRE DIAM 5MM,,,3900,,8800,,3700,,,,,,MH,DK,,1,,0¡,,R190,,120,,72,,,106S,,6,,,5,6,,,,5,,5,,5,,,,,,,960,
CARABELLI 16M CONV,,,SL,16000,,4500,2700,10550,5590,"LOWER INTERMEDIATE WIRE DIAM 8MM, CHECKSTAY WIRE DIAM 6MM",,,6000,,20000,,7000,,,,2040,,FR,KL,,3,,17¡,,E224,,250,,111,,,310S,,10,,,10,7,,7,,,,10,,,8,,,,7,,1535,
CARAVELLA 25 CONV,,,SL,7620,,3250,1750,4000,2000,,,,2900,,7600,,2700,,,,,,MH,DK,,1,,1¡,,E170,,120,,60,,,207S,,7,,,8,7,,,,10,,10,,,,,,,,,860,
CARIBBEAN 40 CONV,,,SL,12000,,3900,2000,9100,2800,"CS FLX: 208S, WIRE DIAM 8MM",,,4800,,13550,,4500,,,,,,MH,DK,,2,,0¡,,E224,,171,,96,,,310S,,10,,,10,10,,8,,,,10,,8,7,,8,,,,1200,
CARIBBEAN 40 CONV FR,,,SL,12000,,3900,2000,9100,2800,"CS FLX: 207S, WIRE DIAM 7MM, CS RUNNER WIRE DIAM 6MM",,,4800,,15600,,5500,,,,,,FR,DK,,2,,12¡,,E206,,200,,96,,,308S,,8,,,10,6,,7,,,,10,,7,7,,,,6,,1200,
CARIBBEAN 40 CONV 2,,,SL,12000,,3900,1750,7630,3400,"CS FLX: 207S, WIRE DIAM 7MM",,,4700,,13800,,4550,,,,,,MH,DK,,2,,3¡,,E224,,171,,96,,,310S,,10,,,10,10,,7,,10,,10,,7,6,,10,,,,1200,
CARIBEAN 47,,,SL,14320,,4500,2400,18600,5700,"CS FLX: 310S, WIRE DIAM 10MM, CS RUNNER WIRE DIAM 8MM",,,,,19300,,6600,,,,2120,,FR,KL,,2,,1¡,,E274,,250,,,,,412S,,12,,,12,8,,8,,,,12,,10,10,,,,,,1700,
ALI BABA 26,,,SL,7990,,2630,1850,960,325,,,,3200,,9510,,3800,,,,1200,,FR,KL,,2,,26¡,,E122,,120,,60,,,105S,,5,,,6,4,,4,,,,6,,,,,,,4,,854,
ALIDA FURL,,,KT,16000,,4300,2500,25000,7000,"ROUGH ESTIMATION ON MAST SIZE, LOWER INTERMEDIATE WIRE DIAM 8MM",,,,,17990,,5000,,,,2300,,MH,KL,,3,,0¡,,R290,,200,,,,,412S,,12,,,10,12,,8,,12,,12,,10,,,,,,,1500,
ALLEGRO 27 2SPR CONV,,,SL,,,,,,,SECTION E130 REQUIRES CHECKSTAYS IN HARD WEATHER,,,,,9800,,3400,,,,,,MH,DK,,2,,0¡,,E130,,120,,,,,A-6,,6,,,5,6,,4,,5,,5,,4,3,,,,,,450,ALLEGRO
ALLEGRO 27 FURL,,,SL,,,,,,,"EMERGENCY INNER FORESTAY, WIRE DIAM 5MM",,,,,9030,,3400,,,,,,MH,DK,,1,,4¡,,R190,,120,,,,,106S,,6,,,6,6,,,,6,,6,,5,,,,,,,1070,ALLEGRO
ALLEGRO 33 CONV HERN,,,SL,9900,,3330,1550,6500,2800,,,,,,11600,,3800,,,,1700,,MH,KL,,1,,3¡,,E189,,143,,,,,208S,,8,,,7,8,,,,8,,8,,,,,,,,,900,ALLEGRO
ALLEGRO 33 FURL,,,SL,9810,,3300,1500,5600,2800,"CS FLX: 206S, WIRE DIAM 6MM",,,3870,,12065,,3900,,,,,,MH,DK,,2,,0¡,,R213,,143,,72,,,207S,,7,,,7,7,,6,,7,,7,,6,5,,,,,,1110,ALLEGRO
ALLIETT 35 CONV,,,SL,10750,,3800,4000,3000,900,,,,,,12500,,4500,,,,,,FR,DK,,2,,23¡,,E170,,143,,,,,206S,,6,,,7,5,,5,,,,7,,,,,,,,,1250,ALLIETT
ALLIETT 35 FURL,,,SL,10750,,3800,4000,3000,900,,,,,,12500,,4500,,,,,,FR,DK,,2,,23¡,,R190,,143,,,,,206S,,6,,,7,5,,5,,,,7,,,,,,,,,1250,ALLIETT
ALLTIETT 35 CONV FH,,,SL,10750,,3800,4000,3210,1110,,,,4100,,13500,,4500,,,,,,FR,DK,,2,,23¡,,C211,,143,,72,,,207S,,7,,,7,6,,5,,,,7,,,4,,,,,,1250,ALLIETT
ALLTIETT 35 CONV FH2,,,SL,10750,,3800,4000,3210,1110,,,,4100,,13500,,4600,,,,,,FR,DK,,2,,23¡,,C211,,143,,72,,,206S,,7,,,7,6,,5,,,,7,,,4,,,,,,1250,ALLIETT
ALO 28 FR CONV,,,SL,8850,,2550,1600,3400,1400,,,,3300,,11000,,3470,,,,,,FR,DK,,1,,24¡,,E155,,120,,60,,,105S,,5,,,6,5,,,,,,6,,,,,,,,,700,ALO
ALO 96 FR CONV,,,SL,,,,,,,,,,3700,,11900,,4000,,,,1850,,FR,KL,,1,,26¡,,E170,,143,,72,,,206S,,6,,,7,5,,,,,,8,,,,,,,,,1050,ALO
ALPA 950 CONV,,,SL,9500,,2960,1860,5100,1650,CHECKSTAYS AND IF STAY REQUIRED,,,3800,,9920,,2800,,,,,,MH,DK,,1,,5¡,,E177,,120,,72,,,207S,,7,,,7,7,,,,,,8,,5,4,,,,,,930,ALPA
ALPHA MIZZEN CONV,,,SL,11000,,3740,2000,11000,4000,,,,,,8050,,2500,,,,2290,,MH,KL,,1,,21¡,,E155,,120,,,,,104S,,4,,,7,5,,,,7,,7,,,,,,,,,1010,ALPHA
ALBIN ALPHA CONV,,,SL,8950,,2840,1650,3200,1380,,,,,,11300,,3600,,,,1735,,FR,KL,,1,,20¡,,E138,,120,,,,,106S,,6,,,6,4,,,,,,6,,,,,,,,,1100,ALBIN
ALU 51,,,SL,15545,,3568,1880,16000,6400,"CS FLX: C-10, WIRE DIAM 10MM",,,,,18300,,5500,,,,,,MH,DK,,2,,0¡,,E274,,200,,,,,D-12,,12,,,12,12,,10,,12,,12,,10,8,,,,,,1300,
ALVE 41 FURL,,,SL,12400,,3630,,8730,2800,RUNNER DIAM IS FOR CHECKSTAY,,,4560,,14350,,4600,,,,1975,,FR,KL,,2,,15¡,,R232,,171,,84,,,308S,,8,,,8,7,,6,,,,10,,,6,,,,,,1300,
AMARYLLIS 2 KT MAIN,,,KT,13230,,3640,1950,13500,5510,"CS FLX: 308S, WIRE DIAM 8MM",,,,,13120,,5340,,,,2170,,MH,KL,,2,,0¡,,E224,,171,,,,,310S,,10,,,10,10,,8,,10,,10,,8,7,,,,,,910,
ANDERSON PETER CONV,,,SL,11160,,3240,1350,9000,2200,"CS FLX: 206S, WIRE DIAM 6MM",,,4500,,9950,,5000,,,,,,MH,DK,,1,,0¡,,E206,,171,,84,,,208S,,8,,,7,8,,,,8,,8,,6,,,,,,,1500,ANDERSON
ANDREWS 44 CONV,,,SL,13410,,4020,2550,8370,2300,,,,,,15230,,6090,,,,2010,,FR,KL,,2,,22¡,,E206,,200,,,,,310S,,10,,,10,8,,7,,,,10,,,,,,,,,1279,
ANDREWS 45 CONV,,,SL,13720,,3860,2550,7325,3630,,,,5120,,17420,,6430,,,,1930,,FR,KL,,2,,21¡,,E224,,200,,99,,,310S,,10,,,10,7,,7,,,,10,,,5,,,,7,,1390,
ANSO 42 FURL,,,SL,12930,,4000,2000,10000,4500,"CS FLX: 208S, WIRE DIAM 8MM",,,5550,,15890,,5000,,,,,,MH,DK,,2,,1¡,,F286,,200,,99,,,310S,,10,,,10,10,,8,,10,,10,,8,7,,,,,,1100,ANSO
APHRODITE 30 19/20 C,,,SL,,,,,,,,,,,,10800,,3000,,,,,,FR,DK,,1,,0¡,,E170,,120,,,,,A-6,,6,,,6,5,,,,7,,7,,,,,,,,,800,APHRODITE
APOLLO 12 VIRIDANA,,,SL,11090,,3620,1900,6300,2200,,,,3050,,12900,,4120,,,,,,MH,DK,,2,,12¡,,E189,,143,,72,,,B-8,,8,,,8,8,,7,,8,,8,,7,5,,,,,,1310,APOLLO
ARCONA 355 CONV,,,SL,10800,,3250,1800,4700,2000,,,,3700,,13500,,4500,,,,,,FR,DK,,2,,24¡,,E170,,143,,72,,,207S,,7,,,7,5,,5,,,,7,,,6,,,,,,1210,ARCONA
ARCONA 370 CONV,,,SL,11100,,3600,2000,6200,2100,,,,3950,,14650,,4900,,,,1860,,FR,KL,,2,,21¡,,C227,,171,,84,,,207S,,7,,,8,6,,6,,,,10,,,,,,,,,1250,ARCONA
ARCONA 370 FURL,,,SL,11100,,3600,2000,6200,2100,,,,3950,,14650,,4900,,,,1860,,FR,KL,,2,,21¡,,F228,,171,,84,,,207S,,7,,,8,6,,6,,,,10,,,,,,,,,1250,ARCONA
ARGEN 43 KT MIZZ FRL,,,KT,13080,,3800,2200,10000,4000,,,,,,10800,,3200,,,,,,MH,DK,,1,,0¡,,R235,,120,,,,,207S,,7,,,6,6,,,,6,,6,,,,,,,,,2270,ARGEN
ARGEN 43 KT MAIN FRL,,,KT,13080,,3800,2200,10000,4000,"STAYSAIL STAY + RUNNERS OPTIONAL, BABYSTAY RUNNER WIRE DIAM 6MM, CS FLX: 208S, WIRE DIAM 8MM",,,5500,,14195,,4200,,,,1900,,MH,KL,,2,,0¡,,R232,,171,,99,,,310S,,10,,,10,10,,7,,10,,10,,8,7,,7,,,,1600,ARGEN
ARGOSY 39,,,SL,11890,,3860,1830,13611,3577,"CS FLX: 308S, WIRE DIAM 8MM",,,4470,,13950,,4570,,,,,,MH,DK,,2,,18¡,,E224,,171,,96,,,310S,,10,,,10,10,,8,,10,,10,,8,7,,,,,,1650,
ARMOURER,,,SL,9677,,3048,1448,7636,3181,"IF STAY OPTIONAL, SET UP WHEN REQUIRED",,,4145,,10580,,3758,,,,,,MH,DK,,2,,0¡,,E189,,143,,84,,,208S,,8,,,8,8,,7,,8,,8,,6,,,,,,,1570,
ASCHAN KITTYWAKE CON,,,SL,9900,,3100,1600,8000,3500,"CS FLX: B-7, WIRE DIAM 7MM",,,,,9300,,3000,,,,,,MH,DK,,2,,0¡,,E170,,143,,,,,C-8,,8,,,8,8,,6,,8,,8,,7,,,,,,,900,
ASSA ABLOY DISPLAY,,,SL,,,,,,,DISPLAY MAST FOR ASSA ABLOY,,,,,10500,,3000,,,,,,FR,DK,,1,,23¡,,E138,,120,,,,,105S,,5,,,5,4,,,,,,5,,,,,,,,,950,
ATALANTA 32 CONV,,,SL,9825,,2500,2135,4000,950,,,,,,9754,,3658,,,,,,MH,DK,,1,,1¡,,E155,,120,,,,,106S,,6,,,5,6,,,,6,,6,,,,,,,,,770,
ATLANTA 31.5 COLVIC,,,SL,9754,,3048,1372,7000,2500,,,,3250,,7500,,2500,,,,,,MH,DK,,1,,2¡,,E170,,120,,72,,,B-7,,7,,,7,7,,,,7,,7,,,,,,,,,950,ATLANTA
ATLANTA 36,,,SL,,,,,,,"CS FLX: 207S, WIRE DIAM 7MM",,,4150,,14105,,3550,,,,,,MH,DK,,2,,9¡,,C245,,143,,84,,,310S,,10,,,8,10,,7,,,,10,,7,6,,7,,,,550,ATLANTA
BAVARIA 37 RACE 3SPR,,,SL,,,3300,,,,"CARBON MAST REQUIRED FOR LONGITUDINAL STABILITY, LOWER INTERMEDIATE WIRE DIAM 6MM",,,4200,,15150,,5000,,,,1750,,FR,KL,,3,,19¡,,C6,,171,,84,,,208S,,8,,,8,7,,5,,,,8,,,,,,,,,1000,BAVARIA
BAVARIA 38 AC 02 CNV,,,SL,11600,,3800,1850,7000,2570,,,,4400,,13550,,4750,,,,,,FR,DK,,2,,22¡,,C227,,200,,84,,,208S,,8,,,8,7,,6,,,,10,,,,,,,,,1400,BAVARIA
BAVARIA 38 AC 02 FRL,,,SL,11600,,3800,1850,7000,2570,"CS WIRE DIAM 7MM, FLX 207S AT 13280 OPTIONAL, IF MOUNTED RUNNERS ARE STRONGLY RECOMMENDED, REINFORCED FURLIN' RA REQUIRED",,,4400,,13550,,4750,,,,,,FR,DK,,2,,22¡,,F228,,200,,84,,,208S,,8,,,8,7,,6,,,,10,,,,,,,,,1400,BAVARIA
BAVARIA 38 E CONV,,,SL,11600,,3950,2000,7300,2500,,,,4400,,13750,,4550,,,,,,FR,DK,,2,,22¡,,E189,,171,,84,,,B-8,,8,,,10,7,,7,,,,10,,,,,,,,,1250,BAVARIA
BAVARIA 38 E FURL,,,SL,11600,,3950,2000,7300,2500,REINFORCED FURLIN' RA REQUIRED,,,4400,,13750,,4550,,,,,,FR,DK,,2,,22¡,,R235,,171,,84,,,B-8,,8,,,10,7,,7,,,,10,,,,,,,,,1250,BAVARIA
BAVARIA 38 E/H CONV,,,SL,11450,,3950,1950,8200,2900,EMERGENCY IF STAY WIRE DIAM 7MM,,,4000,,13550,,4650,,,,,,FR,DK,,2,,18¡,,E189,,171,,84,,,C-8,,8,,,10,7,,7,,,,10,,7,,,,,,,1350,BAVARIA
BAVARIA 38 E/H FURL,,,SL,11450,,3950,1950,8200,2900,"EMERGENCY IF STAY WIRE DIAM 7MM, REINFORCED FURLIN' RA REQUIRED",,,4000,,13550,,4650,,,,,,FR,DK,,2,,18¡,,R235,,171,,84,,,C-8,,8,,,10,7,,7,,,,10,,7,,,,,,,1350,BAVARIA
BAVARIA 38 H CONV,,,SL,,,3950,1850,7200,2300,,,,4400,,13550,,4550,,,,,,FR,DK,,2,,18¡,,E189,,171,,96,,,B-8,,8,,,8,7,,6,,,,10,,,,,,,,,1250,BAVARIA
BAVARIA 38 H FURL,,,SL,,,3950,1850,7200,2300,REINFORCED FURLIN' RA REQUIRED,,,4400,,13550,,4550,,,,,,FR,DK,,2,,18¡,,R235,,171,,96,,,B-8,,8,,,8,7,,6,,,,10,,,,,,,,,1250,BAVARIA
BAVARIA 38 MATCH ACM,,,SL,11360,,3700,2200,6000,2200,,,,4500,,14600,,5000,,,,1910,,FR,KL,,2,,19¡,,C227,,171,,84,,,208S,,8,,,8,7,,6,,,,10,,,,,,,,,1140,BAVARIA
BAVARIA 38 MATCH ALU,,,SL,11360,,3700,2200,6000,2200,"RIG ONLY ALLOWED ON ""ALUMINIUM"" KEEL CONFIG",,,4500,,13550,,5000,,,,1910,,FR,KL,,2,,19¡,,C211,,171,,96,,,208S,,8,,,8,7,,6,,,,10,,,,,,,,,1140,BAVARIA
BAVARIA 38 MATCH CRB,,,SL,11360,,3700,2200,6000,2200,,,,4500,,14850,,5000,,,,1910,,FR,KL,,2,,19¡,,C227,,171,,84,,,208S,,8,,,8,7,,6,,,,10,,,,,,,,,1290,BAVARIA
BAVARIA 38 OC CONV,,,SL,11450,,3950,1950,8200,2900,EMERGENCY IF STAY WIRE DIAM 7MM,,,4000,,13550,,4650,,,,,,FR,DK,,2,,18¡,,E189,,171,,84,,,308S,,8,,,10,7,,7,,,,10,,7,,,,,,,1550,BAVARIA
BAVARIA 38 OC FURL,,,SL,11450,,3950,1950,8200,2900,"EMERGENCY IF STAY WIRE DIAM 7MM, RUNNERS RECMOMMENDED",,,4000,,13550,,4650,,,,,,FR,DK,,2,,18¡,,R235,,171,,84,,,308S,,8,,,10,7,,7,,,,10,,7,,,,,,,1550,BAVARIA
BAVARIA 40 AC CONV,,,SL,12180,,3990,1850,7900,2750,EMERGENCY IF STAY WIRE DIAM 7MM,,,4400,,13550,,4750,,,,,,FR,DK,,2,,20¡,,E189,,171,,96,,,308S,,8,,,10,7,,7,,,,10,,7,,,,,,,1400,BAVARIA
BAVARIA 40 AC RACE,,,SL,12180,,3990,1850,7900,2750,"EMERGENCY IF STAY WIRE DIAM 6MM, RUNNERS WIRE DIAM 7MM OPTIONAL",,,4400,,13550,,4750,,,,,,FR,DK,,2,,19¡,,C227,,171,,96,,,208S,,8,,,10,7,,6,,,,8,,6,,,,,,,1400,BAVARIA
BAVARIA 40 AC FURL,,,SL,12180,,3990,1850,7900,2750,EMERGENCY IF STAY WIRE DIAM 7MM,,,4400,,13550,,4750,,,,,,FR,DK,,2,,20¡,,R235,,171,,96,,,308S,,8,,,10,7,,7,,,,10,,7,,,,,,,1400,BAVARIA
BAVARIA 40 OC CONV,,,SL,12180,,3990,1850,8300,2900,EMERGENCY IF STAY WIRE DIAM 7MM,,,4400,,13350,,4750,,,,,,FR,DK,,2,,22¡,,E206,,171,,96,,,308S,,8,,,10,7,,7,,,,10,,7,,,,,,,1550,BAVARIA
BAVARIA 40 OC FURL,,,SL,12180,,3990,1850,8300,2900,EMERGENCY IF STAY WIRE DIAM 7MM,,,4400,,13350,,4750,,,,,,FR,DK,,2,,22¡,,R235,,171,,96,,,308S,,8,,,10,7,,7,,,,10,,7,,,,,,,1550,BAVARIA
BAVARIA 41 2002 CONV,,,SL,12180,,3990,1850,7900,2750,EMERGENCY IF STAY WIRE DIAM 7MM,,,4400,,14250,,4950,,,,,,FR,DK,,2,,19¡,,E206,,200,,84,,,308S,,8,,,10,7,,7,,,,10,,7,,,,,,,1400,BAVARIA
BAVARIA 41 2002 FURL,,,SL,12180,,3990,1850,7900,2750,EMERGENCY IF STAY WIRE DIAM 7MM,,,4400,,14250,,4950,,,,,,FR,DK,,2,,19¡,,R232,,200,,84,,,308S,,8,,,10,7,,7,,,,10,,7,,,,,,,1400,BAVARIA
BAVARIA 41 H CONV,,,SL,,,,,,,RUNNERS RECOMMENDED,,,4840,,14950,,4650,,,,,,FR,DK,,2,,20¡,,E206,,171,,96,,,C-8,,8,,,10,6,,7,,,,10,,,,,,,,,1350,BAVARIA
BAVARIA 41 H FURL,,,SL,,,,,,,RUNNERS RECOMMENDED,,,4840,,14950,,4650,,,,,,FR,DK,,2,,20¡,,R232,,171,,96,,,C-8,,8,,,10,6,,7,,,,10,,,,,,,,,1350,BAVARIA
BAVARIA 42 AC CONV,,,SL,12950,,3950,1950,8900,3100,EMERGENCY IF STAY WIRE DIAM 7MM,,,5000,,14850,,4950,,,,,,FR,DK,,2,,17¡,,E206,,171,,96,,,308S,,8,,,10,7,,7,,,,10,,7,,,,,,,1350,BAVARIA
BAVARIA 42 AC FURL,,,SL,12950,,3950,1950,8900,3100,EMERGENCY IF STAY WIRE DIAM 7MM,,,5000,,14850,,4950,,,,,,FR,DK,,2,,17¡,,R232,,171,,96,,,308S,,8,,,10,7,,7,,,,10,,7,,,,,,,1350,BAVARIA
BAVARIA 42 E CONV,,,SL,12950,,3950,1950,9400,3900,,,,4840,,15350,,4650,,,,,,FR,DK,,2,,17¡,,E206,,171,,96,,,308S,,8,,,10,7,,7,,,,10,,,,,,,,,1350,BAVARIA
BAVARIA 42 E FURL,,,SL,12950,,3950,1950,9400,3900,,,,4840,,15350,,4650,,,,,,FR,DK,,2,,17¡,,R232,,171,,96,,,308S,,8,,,10,7,,7,,,,10,,,,,,,,,1350,BAVARIA
BAVARIA 42 H CONV,,,SL,12950,,3950,1950,8400,2800,,,,4840,,14250,,4650,,,,,,FR,DK,,2,,17¡,,E189,,171,,96,,,308S,,8,,,10,7,,7,,,,10,,,,,,,,,1350,BAVARIA
BAVARIA 42 H FURL,,,SL,12950,,3950,1950,8400,2800,,,,4840,,14850,,4950,,,,,,FR,DK,,2,,17¡,,R232,,171,,96,,,308S,,8,,,10,7,,7,,,,10,,,,,,,,,1350,BAVARIA
BAVARIA 42 OC CONV,,,SL,12950,,3950,1950,9300,3900,"EMERGENCY IF STAY WIRE DIAM 7MM, RUNNERS WIRE DIAM 6MM OPTIONAL",,,4840,,14450,,4950,,,,,,FR,DK,,2,,18¡,,E206,,171,,96,,,308S,,8,,,10,7,,7,,,,10,,7,,,,,,,1550,BAVARIA
BAVARIA 42 OC FURL,,,SL,12950,,3950,1950,9300,3900,"EMERGENCY IF STAY WIRE DIAM 7MM, RUNNERS WIRE DIAM 6MM OPTIONAL",,,4840,,14450,,4950,,,,,,FR,DK,,2,,18¡,,R232,,171,,96,,,308S,,8,,,10,7,,7,,,,10,,7,,,,,,,1550,BAVARIA
BAVARIA 44 AC 03 CNV,,,SL,13600,,4250,1651,10100,3800,"TWO KEEL VERSIONS, OPTIONAL CS 8MM FLX 208S, RUNNERS WIRE DIAM 6MM",,,5450,,15200,,5600,,,,,,FR,DK,,2,,21¡,,E224,,200,,96,,,310S,,10,,,10,8,,7,,,,10,,,,,,,,,1350,BAVARIA
BAVARIA 44 AC 03 FRL,,,SL,13600,,4250,1950,9850,3550,"TWO KEEL VERSIONS, OPTIONAL CS WIRE DIAM 8MM FLX 208S, CHECKSTAY 5MM REQUIRED IF CS IS MOUNTED",,,5450,,15200,,5600,,,,,,FR,DK,,2,,21¡,,R232,,200,,96,,,310S,,10,,,10,8,,7,,,,10,,,,,,,,,1350,BAVARIA
BAVARIA 44 AC CONV,,,SL,13600,,4250,1651,10100,3800,"EMERGENCY IF STAY WIRE DIAM 7MM, TWO KEEL VERSIONS, OPTIONAL CHECKSTAY 5MM",,,5360,,14790,,4950,,,,,,FR,DK,,2,,21¡,,E224,,171,,96,,,310S,,10,,,10,8,,7,,,,10,,7,,,,,,,1350,BAVARIA
BAVARIA 44 AC FURL,,,SL,13600,,4250,1950,9850,3550,"EMERGENCY IF STAY WIRE DIAM 7MM, TWO KEEL VERSIONS, OPTIONAL CHECKSTAY 5MM",,,5360,,14790,,4950,,,,,,FR,DK,,2,,21¡,,R232,,171,,96,,,310S,,10,,,10,8,,7,,,,10,,7,,,,,,,1350,BAVARIA
BAVARIA 44 E FURL FR,,,SL,13300,,4150,2250,10000,4200,,,,5150,,16500,,5500,,,,,,FR,DK,,2,,21¡,,R260,,250,,99,,,310S,,10,,,10,7,,8,,,,10,,,,,,,,,1350,BAVARIA
BAVARIA 44 OC 02 CNV,,,SL,13600,,4250,1950,10500,3900,RUNNER IS CHECKSTAY,,,5360,,15250,,5100,,,,,,FR,DK,,2,,20¡,,E224,,171,,99,,,310S,,10,,,10,8,,7,,,,10,,,5,,,,,,1450,BAVARIA
BAVARIA 44 OC 02 FRL,,,SL,13600,,4250,1950,10500,3900,"OPTIONAL CS 8MM, CHECKSTAY 5MM REQUIRED IF CS IS MOUNTED",,,5360,,15250,,5100,,,,,,FR,DK,,2,,20¡,,R260,,200,,99,,,310S,,10,,,10,8,,7,,,,12,,,,,,,,,1450,BAVARIA
BAVARIA 46 E CONV,,,SL,,,,,,,EMERGENCY IF STAY WIRE DIAM 8MM,,,5800,,17150,,5100,,,,,,FR,DK,,2,,18¡,,E274,,200,,111,,,C-10,,10,,,12,8,,8,,,,12,,8,,,,,,,1450,BAVARIA
BAVARIA 46 E FURL,,,SL,,,,,,,,,,5800,,17150,,5100,,,,,,FR,DK,,2,,18¡,,R290,,200,,111,,,C-10,,10,,,12,10,,8,,,,12,,,,,,,,,1450,BAVARIA
COLVIC ATLANTA KT,,,KT,9754,,3048,1220,7000,2500,,,,3150,,7625,,3770,,,,,,MH,DK,,1,,0¡,,R213,,143,,72,,,B-7,,7,,,7,7,,,,7,,7,,,,,,,,,1090,
COLVIC ATLANTA SLAB,,,KT,9754,,3048,1220,7000,2500,,,,3150,,7760,,3770,,,,,,MH,DK,,1,,0¡,,E170,,143,,72,,,207S,,7,,,7,7,,,,7,,7,,,,,,,,,1090,
COLVIC COBRA 27,,,SL,8230,,2750,1220,3750,1500,,,,3000,,8680,,3340,,,,,,MH,DK,,1,,0¡,,E155,,120,,60,,,206S,,6,,,6,6,,,,6,,6,,,,,,,,,650,
COMET 303 CONV,,,SL,9300,,3200,1800,4500,1000,"CS FLX: 105S, WIRE DIAM 5MM",,,3670,,10850,,3300,,,,1550,,MH,KL,,2,,0¡,,E155,,120,,72,,,206S,,6,,,6,6,,5,,,,6,,5,4,,5,,,,1070,
COMFORT 30 SML,,,SL,9144,,3022,1727,3105,1403,,,,3505,,10660,,2900,,,,,,MH,DK,,1,,1¡,,E177,,120,,60,,,106S,,6,,,7,6,,,,7,,7,,,,,,,,,650,
COMFORT 34 19/20 FRL,,,SL,,,,,,,"CS FLX: 206S, WIRE DIAM 6MM",,,4100,,12500,,3450,,,,1970,,FR,KL,,2,,0¡,,R213,,143,,84,,,B-7,,7,,,7,6,,5,,8,,8,,6,5,,,,,,1160,
COMFORT 34 KFZD 2SPR,,,SL,,,,,,,,,,4100,,12200,,3300,,,,1980,,MH,KL,,2,,1¡,,E177,,143,,84,,,208S,,8,,,7,8,,6,,8,,8,,,,,,,,,835,
